1  0.05953171744285445 ","
2  0.05508977082153216 "the"
3  0.03994352176671529 "###LEFT-WALL###"
4  0.03149484427339761 "."
5  0.02635367571409817 "of"
6  0.02544031106440914 "and"
7  0.02129100726141242 "to"
8  0.01804896593435351 "a"
9  0.0159921846845551 "I"
10  0.01567365121474229 "in"
11  0.01343249714374681 "he"
12  0.01299558150316067 "was"
13  0.0129955379162053 "that"
14  0.01235537630274872 "it"
15  0.0104175438541434 "is"
16  0.01041702081067901 "“"
17  0.009493456813434406 "”"
18  0.008753175963502724 "his"
19  0.008589550533059747 "you"
20  0.008088300546353767 "not"
21  0.007791255445536269 "as"
22  0.007008172205435433 "had"
23  0.006487918306189993 "for"
24  0.006278265050880797 "be"
25  0.005890907778545489 "have"
26  0.005532492244573032 "on"
27  0.005413456269469204 "at"
28  0.005410230834772139 "with"
29  0.005392011487429261 "but"
30  0.005317608554619947 ";"
31  0.005210079535732673 "her"
32  0.005123864538019245 "him"
33  0.005080626278296433 """
34  0.00482708095893394 "which"
35  0.004642359442093945 "she"
36  0.004608797486462327 "said"
37  0.004394000970419974 "they"
38  0.004100835108630026 "_"
39  0.003861629897582859 "this"
40  0.003654068816131218 "all"
41  0.003602549034888917 "?"
42  0.003498289037654073 "me"
43  0.003391762518740211 "one"
44  0.00336744099764613 "It"
45  0.00336386686730614 "He"
46  0.003237028827191844 "would"
47  0.003202115675943889 "we"
48  0.003121697743294103 "‘"
49  0.003108098613219993 "The"
50  0.003056753179799155 "--"
51  0.003032562419571171 "so"
52  0.003024803941516069 "if"
53  0.00302367068067656 "are"
54  0.003013471333120978 "by"
55  0.002927256335407549 "do"
56  0.002852461119999944 "there"
57  0.002838033837773885 "from"
58  0.002837292859532668 "-"
59  0.002773743078609423 "been"
60  0.002704919276086923 "my"
61  0.002678636342001384 "them"
62  0.002653094386157062 "no"
63  0.002638754277841735 "time"
64  0.002583050148884322 "were"
65  0.002548180584591732 "could"
66  0.002534319932785428 "will"
67  0.002512134172504267 "what"
68  0.002457127434832707 "out"
69  0.002357836350509557 "when"
70  0.002238974723227192 "up"
71  0.002192990485316339 "know"
72  0.002158905486220333 "’"
73  0.002089994509787102 "!"
74  0.001930073970550212 "did"
75  0.001876985058914744 "or"
76  0.001834444190477785 "But"
77  0.001786977996084497 "their"
78  0.001748708649273379 "who"
79  0.001721466802169794 "an"
80  0.001638651586974893 "has"
81  0.001625619087320537 ":"
82  0.001621652674382255 "into"
83  0.001613981370237885 "man"
84  0.001599772022788655 "then"
