1  1.138810582919958 ","
2  1.046993990135457 "the"
3  0.7049218213922785 "###LEFT-WALL###"
4  0.6059448878058975 "."
5  0.5019712163916115 "of"
6  0.4742842338048815 "and"
7  0.4197571515834513 "to"
8  0.357428210414724 "a"
9  0.3036322221764535 "in"
10  0.3011344785066395 "I"
11  0.252601440134583 "that"
12  0.251912768689991 "he"
13  0.2474347725874176 "was"
14  0.2374305817702426 "it"
15  0.1995807321718643 "is"
16  0.1766263041375602 "“"
17  0.1757651802531069 "his"
18  0.1699896445316518 "you"
19  0.167425343894041 "”"
20  0.1542269286032022 "not"
21  0.1461446526378615 "as"
22  0.136419238093418 "had"
23  0.1286936642666532 "for"
24  0.1198099369703197 "be"
25  0.113424052964693 "have"
26  0.1096496733605933 "with"
27  0.1070809313300247 "her"
28  0.1064539368692206 "on"
29  0.104225541465399 ";"
30  0.1028675108489545 "at"
31  0.102602782966644 """
32  0.101830501932849 "but"
33  0.1007463475853903 "him"
34  0.09392441527262177 "which"
35  0.09022836237764793 "she"
36  0.08663551163882284 "they"
37  0.08166459878791023 "said"
38  0.07826659729005452 "this"
39  0.07487855614978432 "_"
40  0.07277222247060224 "all"
41  0.06927831173478487 "me"
42  0.06777661604321447 "?"
43  0.06568347595730827 "one"
44  0.06414738688757213 "we"
45  0.0622561207044324 "He"
46  0.06224070500247096 "would"
47  0.06146355400929142 "by"
48  0.06079686180281513 "are"
49  0.05947742565938463 "so"
50  0.05826918854476968 "from"
51  0.0578484894175661 "The"
52  0.05709405204518995 "It"
53  0.05670836804619933 "if"
54  0.05665089778018306 "do"
55  0.05618319523138803 "my"
56  0.05392657508640157 "them"
57  0.05366247263008062 "-"
58  0.05359025205484524 "there"
59  0.05262962983696669 "‘"
60  0.0523332013725482 "been"
61  0.05184618907216378 "were"
62  0.05097421740569881 "--"
63  0.05048054780406097 "will"
64  0.05013759780083368 "no"
65  0.04992134986734927 "what"
66  0.04927704531588046 "time"
67  0.04925876870621208 "could"
68  0.04701065207392153 "out"
69  0.04530842918118053 "when"
70  0.0445639882959795 "up"
71  0.04175542432119437 "know"
72  0.0411983196429363 "!"
73  0.03804433079217284 "their"
74  0.03745784185718672 "’"
75  0.0372892784448426 "did"
76  0.03670151131020208 "or"
77  0.03494430693825043 "an"
78  0.03491666809522991 "But"
79  0.03485084872217436 "who"
80  0.03292996053313473 "has"
81  0.03254640921914572 "into"
82  0.0323590896644619 ":"
83  0.03190633131937681 "more"
84  0.03159981755100309 "man"
85  0.03046477819575721 "then"
86  0.03013897611001271 "can"
87  0.03009075607806377 "see"
88  0.0296425644364914 "only"
89  0.02963119161699393 "other"
90  0.0288646298655108 "now"
91  0.02808046462135816 "And"
92  0.02770726932530231 "very"
93  0.02592502733170557 "about"
94  0.02591670321596988 "made"
95  0.02553390544345174 "back"
96  0.02540979447242816 "should"
97  0.02515910546043232 "like"
98  0.02484016562743913 "way"
99  0.02446574158339474 "think"
100  0.02401835510927612 "day"
101  0.02380785559100986 "She"
102  0.02370658330591274 "any"
103  0.0235408127802516 "than"
104  0.02281993529090207 "first"
105  0.02254563839108452 "say"
106  0.02247542039688225 "|"
107  0.02245108956920698 "may"
108  0.02241804632667116 "down"
109  0.02224666498272642 "some"
110  0.02206620254477266 "your"
111  0.0220628188928752 "must"
112  0.02197385428717557 "go"
113  0.02193978143254849 "good"
114  0.02191586736794303 "us"
115  0.02186382824158932 "much"
116  0.02157942887291115 "In"
117  0.02153871553429451 "There"
118  0.02148471470988141 "hand"
119  0.0212881201068673 "come"
120  0.02122563349220346 "—"
121  0.02115842011633845 "never"
122  0.02100474259211706 "before"
123  0.02099262741903479 ")"
124  0.0207152966791442 "What"
125  0.02037198632526851 "You"
126  0.02029641961563804 "two"
127  0.01946496589302156 "thought"
128  0.01943433496239741 "well"
129  0.01916611024316882 "over"
130  0.01909852879268541 "little"
131  0.01863125253084391 "same"
132  0.01809595688303635 "long"
133  0.01794151054688589 "great"
134  0.01788242494521106 "own"
135  0.01784228739623021 "head"
136  0.0177749938819431 "am"
137  0.0176115394901303 "eyes"
138  0.01757382915101244 "after"
139  0.01749243539401635 "["
140  0.01746080962987677 "upon"
141  0.01744754927912843 "our"
142  0.01736494789018393 "how"
143  0.01722351208022639 "came"
144  0.01715940925359 "A"
145  0.01713231416333987 "too"
146  0.0170607474255986 "("
147  0.01696873532598387 "make"
148  0.01695264532931277 "just"
149  0.01676563922190008 "get"
150  0.01666233678419921 "asked"
151  0.01634078907145004 "life"
152  0.0163341673577643 "looked"
153  0.01632919391515184 "+"
154  0.01632206103649665 "No"
155  0.01615923226860998 "here"
156  0.01594449282319184 "room"
157  0.01591422624634044 "its"
158  0.01577873780301613 "might"
159  0.01566916530341624 "They"
160  0.01563324302117288 "went"
161  0.01550063776792594 "even"
162  0.01549519102840741 "nothing"
163  0.01541531712336221 "place"
164  0.01532209318937106 "We"
165  0.01514415495014871 "This"
166  0.01508430237219861 "take"
167  0.01503499882532426 "right"
168  0.01494114038830308 "last"
169  0.01487225834931959 "where"
170  0.01484214340210805 "most"
171  0.01464530843235764 "found"
172  0.01459163453759954 "years"
173  0.01457527152026123 "knew"
174  0.01456371995987333 "'"
175  0.01451058176693735 "│"
176  0.0144852665067075 "men"
177  0.0144733041664719 "]"
178  0.01445935616768142 "tell"
179  0.0144536669218705 "side"
180  0.01437742464418076 "*"
181  0.01426684330732474 "such"
182  0.01417124927019219 "himself"
183  0.01410761144508642 "though"
184  0.01401537237478547 "again"
185  0.0138741388468721 "done"
186  0.01384972050019336 "saw"
187  0.01384028603312451 "moment"
188  0.0137250492740759 "world"
189  0.0137218590713629 "If"
190  0.01362745035928745 "God"
191  0.01354949759475579 "shall"
192  0.01351965659627462 "part"
193  0.01339897287823439 "took"
