#
# f1 and f2
#
#
# f1	f2
-0.14254	-0.55549
0.428265	0.234047
0.282750	0.323778
0.139172	-0.14920
0.187459	0.455473
0.551540	0.887581
0.419531	0.665000
0.147014	-0.08091
0.660045	0.952521
-0.09729	-0.31413
0.106233	-0.26951
-0.34154	-0.88337
0.085718	0.036272
0.028234	0.021102
-0.26740	-0.72840
-0.31978	-0.82003
0.084217	-0.17868
0.661690	0.788277
-0.21029	-0.47935
-0.28178	-0.82784
0.288555	0.670880
0.584562	0.884062
0.225834	-0.04398
-0.37239	-0.83268
0.767413	0.898735
0.631827	0.984605
0.303248	0.506715
-0.29997	-0.88258
0.509517	0.786613
0.370272	0.596221
0.677517	0.862504
-0.23746	-0.76563
-0.26178	-0.78003
-0.32487	-0.85227
0.369026	0.596859
-0.38328	-0.90686
0.415520	0.637326
-0.06392	-0.16301
0.293149	-0.23297
0.327749	0.392018
-0.30481	-0.80346
-0.34141	-0.83899
0.218722	-0.00991
0.085449	-0.34808
-0.11800	-0.73728
-0.18513	-0.60533
0.120435	0.139332
-0.03340	-0.35309
0.146124	-0.18365
0.455357	0.650287
0.395482	0.648764
0.129919	0.231953
-0.25287	-0.77238
0.771227	0.924460
0.433304	0.818338
0.322849	0.750772
0.775292	0.923300
0.109251	-0.24937
0.638473	0.844056
0.507547	0.745305
0.860263	0.972668
0.203042	0.333421
-0.24507	-0.88263
-0.24980	-0.87084
0.791683	0.981800
-0.01544	-0.22629
0.493916	0.751177
0.107496	-0.25070
-0.39152	-0.87066
0.395646	0.613613
0.673209	0.957617
-0.12357	-0.29438
0.250255	0.426004
0.193050	0.296235
0.427661	0.778299
0.111027	-0.14094
0.822281	0.993441
0.495287	0.844746
-0.25455	-0.80871
0.913326	0.996823
0.476388	0.724000
0.295887	0.625597
0.490672	0.834562
0.057520	-0.45803
0.721519	0.924548
0.205011	0.302224
0.260661	0.496896
-0.09133	-0.40160
0.382711	0.820519
-0.01986	-0.18449
0.371503	0.711751
0.269904	0.451686
0.094626	0.455627
1.000000	1.000000
0.049490	-0.21095
0.196157	0.378822
0.547097	0.795687
0.054592	0.146602
0.351209	0.592762
0.120185	0.252733
-0.25023	-0.76927
-0.29482	-0.87112
0.346425	0.824979
-0.21821	-0.70907
0.804195	0.961593
-0.27127	-0.79878
0.575968	0.853537
-0.05807	-0.69923
0.114266	0.365789
0.110706	-0.53468
0.183618	-0.04334
0.011791	-0.42469
0.558559	0.878675
-0.37673	-0.69267
0.542694	0.532670
-0.00169	-0.32935
-0.35794	-0.83321
0.220735	0.546284
0.348066	0.558344
0.087175	-0.26254
0.131045	0.292533
0.690437	0.952243
0.402203	0.643648
0.092580	-0.17798
-0.06840	-0.37516
-0.15634	-0.79323
0.426871	0.838127
0.215562	0.808436
0.423890	0.749994
0.293679	0.552314
-0.11392	-0.50620
0.569028	0.892627
0.281568	0.655225
0.456547	0.862938
0.468216	0.667926
-0.19640	-0.81980
0.599280	0.850019
-0.19856	-0.80657
0.307519	0.375411
-0.12056	-0.52004
0.059789	-0.15882
0.266123	0.664904
0.638867	0.948895
0.235552	0.509223
-0.26904	-0.39383
-0.22657	-0.77708
-0.39115	-0.87380
-0.22690	-0.79209
0.084005	-0.30344
0.299326	0.779279
-0.33497	-0.86406
-0.11210	-0.56665
0.206526	-0.01037
-0.29869	-0.79452
-0.14964	-0.64290
0.394661	0.613474
0.463812	0.753547
-0.02869	-0.45948
-0.21743	-0.78646
0.037390	0.183871
0.813397	0.904741
0.607891	0.977486
-0.10535	-0.14888
-0.06417	-0.55574
0.091743	-0.09712
0.365585	0.599871
-0.03437	-0.38886
0.529474	0.952730
0.580481	0.772799
0.407992	0.612927
0.388778	0.686926
0.195889	0.503609
0.169204	-0.09878
0.300448	0.611506
0.052862	-0.29125
0.354024	0.566990
-0.44325	-0.91923
0.079375	-0.22436
-0.42210	-0.69165
0.180938	0.366189
0.485992	0.448767
0.392567	0.882989
0.458378	0.853004
-0.35311	-0.86390
-0.26199	-0.63034
-0.29556	-0.83581
0.042229	-0.04424
-0.20958	-0.58462
0.572331	0.862009
-0.20857	-0.79613
0.578859	0.893039
0.025589	0.149497
0.097176	0.285740
0.315522	0.450929
0.136517	0.245766
-0.05622	-0.40417
0.536682	0.770114
0.691992	0.945886
0.693989	0.979627
0.371459	0.594823
0.858723	0.994983
0.702960	0.862237
-0.31619	-0.81064
-0.04369	0.102168
-0.07183	-0.50230
-0.30357	-0.84349
0.074668	0.058354
0.451836	0.935941
0.259570	0.427738
0.196535	0.488650
0.027339	-0.35290
0.609498	0.785583
0.839017	0.980571
-0.17479	-0.83078
-0.14383	-0.29311
-0.09462	-0.66559
0.628971	0.966156
0.355390	0.596117
0.412349	0.715211
0.706884	0.657066
-0.18121	-0.86747
0.684551	0.950312
0.419856	0.643812
0.273114	0.666809
0.462197	0.352754
-0.18413	-0.55179
0.041802	-0.11319
0.813583	0.993675
0.350728	0.401897
0.050730	0.249248
0.091211	0.196522
-0.23067	-0.69732
0.522993	0.940840
0.690947	0.967389
-0.20079	-0.78338
0.737366	0.935656
0.591424	0.836124
-0.33619	-0.47106
-0.32214	-0.86355
-0.09835	-0.53123
0.744679	0.970179
-0.33007	-0.78857
0.162639	0.529236
0.661549	0.858349
0.540883	0.714640
-0.30453	-0.89911
0.487857	0.926444
0.498297	0.712999
0.397715	0.158381
0.005084	-0.49286
-0.32694	-0.71420
-0.20215	-0.75637
0.014758	-0.26778
0.167248	0.266812
-0.21094	-0.72463
-0.37440	-0.88070
0.672370	0.975572
0.790013	0.991300
-0.12792	-0.70791
0.490848	0.763152
0.514650	0.714328
0.138092	-0.14934
0.540054	0.774811
0.414888	0.646522
-0.04453	-0.14514
0.440531	0.911657
0.247932	-0.05062
-0.17179	-0.53150
-0.04189	-0.41286
0.209267	0.048298
0.661936	0.810863
0.478938	0.834297
0.371780	0.567702
0.294670	-0.09119
0.027809	-0.00617
-0.29593	-0.68382
0.136413	0.195847
0.176598	0.035650
-0.51444	-0.75053
0.842872	0.994030
0.130876	0.034305
-0.19016	-0.50093
0.315715	0.720130
0.621920	0.889797
0.279266	0.283430
-0.44008	-0.73939
-0.04845	-0.73540
0.256815	0.026441
-0.41113	-0.87921
-0.12440	-0.60409
0.108512	-0.09441
0.419378	0.490051
0.283473	0.392148
-0.38068	-0.87733
0.701649	0.973816
0.731718	0.899816
-0.09463	-0.50333
0.772659	0.984443
0.451276	0.718910
-0.31664	-0.91466
-0.16531	-0.29434
-0.23875	-0.82523
0.524407	0.825785
0.308454	0.612984
0.263288	0.677583
0.093848	0.308213
0.256815	0.463466
0.193853	-0.03904
0.094888	-0.31569
-0.29302	-0.81781
-0.47291	-0.93175
-0.21638	-0.69579
0.158643	0.118491
-0.32939	-0.82500
0.854790	0.978101
0.036694	-0.18467
0.658393	0.892471
0.085845	0.217373
-0.10022	-0.09402
-0.25901	-0.83806
-0.08043	-0.50305
0.310887	0.659487
0.361978	0.756332
-0.25764	-0.89338
-0.18025	-0.49729
0.935119	0.998221
-0.30276	-0.85494
-0.30577	-0.77649
-0.22580	-0.78601
-0.05850	-0.45167
-0.27024	-0.85315
-0.18821	-0.73286
-0.24960	-0.72043
-0.12261	-0.17437
-0.23293	-0.85532
-0.34970	-0.82703
0.023656	-0.26238
0.636595	0.920118
0.460704	0.761335
0.563542	0.895298
0.627178	0.975968
0.116944	-0.50882
-0.05060	-0.57006
0.731136	0.966666
-0.23853	-0.82641
-0.27111	-0.84361
0.709328	0.872569
0.451236	0.602611
-0.26649	-0.80357
-0.20951	-0.46396
0.331765	0.525045
0.421003	0.700909
0.082032	0.334222
0.449025	0.744239
-0.16684	-0.84085
0.404845	0.618431
0.304054	0.459361
0.623970	0.970077
0.731658	0.987902
0.624600	0.960878
0.611056	0.850283
0.376876	0.765550
0.737127	0.918524
-0.27728	-0.87349
0.673491	0.869597
0.680092	0.939659
0.178739	0.233513
-0.27117	-0.73200
0.498224	0.694627
0.036807	-0.39477
0.768243	0.993272
-0.13047	-0.55590
0.720955	0.984653
0.406377	0.368408
0.488802	0.888618
0.454139	0.901139
-0.13637	-0.62794
-0.37150	-0.92170
0.448063	0.813046
0.054172	-0.27314
0.082392	-0.52092
0.112697	0.286831
-0.12646	-0.46412
-0.30315	-0.85790
-0.14539	-0.59148
0.663612	0.984617
-0.31053	-0.88323
0.814787	0.990813
0.251478	0.450855
0.578988	0.620786
-0.26177	-0.72658
-0.35502	-0.80540
-0.09322	-0.21673
-0.31078	-0.85628
-0.06577	-0.11810
0.091997	-0.36650
0.519788	0.890657
-0.00701	-0.12212
0.812795	0.978841
0.237788	0.126909
-0.31047	-0.90509
0.437200	0.553640
-0.30817	-0.87166
-0.32504	-0.86410
0.374121	0.693610
-0.32939	-0.79369
0.460515	0.753832
0.027386	-0.43165
-0.23543	-0.86178
0.428890	0.647227
0.271433	-0.04412
-0.11178	-0.53238
0.159372	0.322542
0.601278	0.782387
0.213313	0.001400
0.482372	0.738886
0.481642	0.823163
0.544548	0.769272
-0.11742	-0.10656
0.115707	0.007273
0.336764	0.821629
0.070841	0.338477
0.388213	0.625527
-0.35399	-0.81326
0.290040	0.445541
0.112776	0.032247
-0.34066	-0.86696
0.601009	0.932727
0.778607	0.909165
0.744587	0.941907
0.601048	0.844620
0.250648	0.521821
-0.12484	-0.12495
0.623667	0.842004
0.050702	0.336375
0.485210	0.669770
0.635725	0.966385
0.365673	0.884780
0.545820	0.941935
-0.13864	-0.47176
-0.37163	-0.84122
-0.12687	-0.78696
0.660811	0.867047
0.371848	0.593737
-0.03909	-0.43358
0.024674	-0.29126
-0.00112	-0.02170
0.594945	0.853811
0.357402	0.874115
-0.01835	0.045338
0.769005	0.983293
0.900732	0.996177
0.225745	0.429038
0.339923	0.553835
0.552206	0.712652
0.166307	0.050956
0.833151	0.927690
0.275901	0.504685
0.677303	0.968724
0.537358	0.844431
0.241113	0.502101
-0.37497	-0.89520
1.000000	1.000000
0.428023	0.855761
-0.15687	-0.75988
0.177307	-0.06658
0.149415	0.366604
0.559395	0.906847
-0.42825	-0.90217
0.157603	-0.02017
0.223182	0.494274
0.622653	0.823684
0.730549	0.910658
-0.37730	-0.91263
0.804998	0.922577
0.173016	0.375250
-0.22661	-0.69938
0.612961	0.964955
0.661832	0.849390
0.225466	0.426704
0.575070	0.799626
-0.13229	-0.20204
-0.17173	-0.31843
0.416701	0.785765
0.722601	0.984399
-0.22453	-0.76774
-0.37568	-0.88808
0.578881	0.975052
0.560496	0.879243
0.187544	-0.03029
0.192309	-0.07660
0.223137	0.105085
0.117012	-0.07254
-0.40704	-0.90451
0.210062	0.544627
0.137876	0.238364
-0.39062	-0.86087
0.519564	0.804484
0.644462	0.965918
0.440756	0.549363
-0.23752	-0.77424
-0.39000	-0.89197
-0.16238	-0.68957
0.443748	0.648449
-0.01581	-0.30935
0.295188	0.315092
0.218203	-0.04688
0.142120	0.241848
0.500650	0.659811
-0.27028	-0.74187
0.234683	0.370980
0.322803	0.273252
0.477431	0.742809
0.213220	0.444220
0.458636	0.763480
0.439283	0.746092
0.763652	0.919125
0.519985	0.860421
0.303239	0.029034
0.267177	0.591531
0.320038	0.671419
-0.30721	-0.82110
0.438822	0.509401
