#
# Gaussian-cosines vs MI
#
#
# goe	mi
0.424506	-3.22314
-0.27037	-6.88037
-0.24485	-3.26691
0.392888	-2.64439
0.744800	1.545702
0.544689	-0.25696
0.583722	-0.27561
0.282911	-1.87774
0.815577	0.775578
0.695757	-0.99106
0.005118	1.914765
0.735953	1.058204
0.861059	-0.26192
0.569541	-5.24542
0.617669	-2.15470
0.232244	1.534192
0.337535	0.096087
0.316210	1.636790
0.407804	-0.39498
0.463473	-1.49060
0.390696	-0.87933
0.487997	-0.41910
0.494729	0.353804
0.551862	0.523016
0.520926	0.860564
0.532011	1.065059
0.460845	-0.74737
-0.13220	-1.56243
0.505162	-0.23578
0.249521	-0.59706
0.105348	-1.01447
0.474838	0.558478
-0.22085	-3.07789
0.276029	-1.14339
0.554134	0.490004
-0.15835	-1.62154
0.202570	0.030566
0.369915	-0.50039
0.413303	0.793804
0.441153	-0.57375
0.430079	-0.96835
0.548773	0.714977
0.507662	-0.45662
0.414678	-0.54145
0.360613	-0.45581
0.395278	-1.12480
-0.30947	-2.08237
0.451276	0.133736
0.437146	-0.01758
-0.25527	-3.07553
-0.26853	-3.08604
-0.15039	-2.24959
0.110122	-1.61075
0.411300	-0.98588
0.355992	-0.24114
0.523467	0.367737
-0.34050	-2.45487
0.458976	0.568044
0.456470	-1.18009
-0.26757	-1.96016
-0.13740	-1.53963
0.473062	-1.04903
0.277710	-0.45065
0.042522	-0.92994
-0.09876	-1.71126
0.416024	-1.33243
0.460420	-1.04948
-0.12201	-1.88638
-0.20303	-2.01476
-0.30538	-2.28466
0.370052	-0.20845
0.506461	0.163051
0.353382	-0.34313
0.465288	0.100175
0.298069	-0.64740
0.125171	-1.34181
0.115592	-1.28079
0.198657	-1.73808
0.452867	-0.28890
0.429612	-1.08557
-0.36285	-3.08181
0.246008	-0.78688
0.516209	1.081577
-0.20023	-2.43013
0.257754	-0.39266
-0.17671	-2.34170
-0.00225	-2.09689
0.390306	-0.69525
0.153036	-0.16203
0.292774	-0.94040
0.399845	0.036162
0.564713	0.637016
0.574208	2.131335
0.187520	-0.06999
0.468460	0.304949
0.370183	-1.24219
0.344239	-0.91529
0.561539	2.169520
0.413280	0.524450
