#
# MI and Cosines
#
#
# mi	rmi	cos-mi	cos-rmi
7.104852	11.03839	1.000000	1.000000
-0.22969	2.585331	0.392425	0.407886
-3.07486	-0.16911	-0.23293	-0.10319
-4.28215	-0.45512	-0.41460	-0.11500
-1.71157	1.427144	0.226638	0.310420
-2.00254	-0.12323	0.244830	0.326975
-0.00627	4.434740	0.394461	0.312269
-0.39909	1.634920	0.438754	0.445530
-1.76073	0.623940	0.102413	0.297571
0.014108	3.834878	0.479611	0.411149
-3.41069	-1.37005	-0.35872	-0.26420
-7.65637	-4.13846	-0.25520	-0.29372
-1.01139	0.251565	0.447282	0.346730
-4.55105	-1.68833	-0.29315	-0.24781
-6.54281	-3.00643	-0.04832	-0.20744
-6.72815	-2.73588	-0.18841	-0.14927
-5.67233	-2.94871	-0.43705	-0.15681
-1.77828	1.470151	0.510318	0.420455
-2.35483	0.032830	0.463300	0.396388
-3.85684	-0.24938	-0.06505	-0.19266
-4.53872	-1.56337	-0.31778	-0.13099
-3.97161	-0.59503	-0.37009	-0.17700
-2.47380	-0.17285	-0.21472	0.051216
-0.88332	1.555139	0.019797	0.279548
-4.97650	-1.48764	-0.41749	-0.19853
-2.27610	1.096424	0.206475	0.190213
-1.73221	0.164667	0.438823	0.328517
-2.19192	1.830653	0.325482	0.236360
-5.63134	-1.41203	-0.29093	-0.08048
-5.82310	-2.42994	-0.45697	-0.21978
-3.59754	-0.75012	-0.24460	-0.18542
-2.49851	-0.80251	0.081636	0.146219
-3.96286	-1.12258	-0.27318	-0.01472
0.476472	4.006545	0.548220	0.441662
-6.49838	-3.15928	-0.43276	-0.24311
-1.60606	0.383564	0.536771	0.404502
-2.79471	0.140651	0.520375	0.308805
-3.50729	-0.75718	-0.14273	0.020143
-0.57589	2.032826	0.112411	0.299843
-2.87283	0.250226	0.184530	0.155588
-4.20923	-1.64626	0.186132	0.121845
-1.76583	0.475280	0.526378	0.378872
-4.96984	-1.57662	-0.22266	-0.05758
-5.02772	-1.18621	0.492389	0.308955
-4.59625	-1.73143	0.493116	0.116605
-1.12911	1.843419	0.366897	0.463646
2.242473	5.564669	0.746123	0.380945
