#
# Number of sections with disjuncts with given length
# Divived by total of 855718.0
#
# idx	len	count
0	1.0	0.019165192271284263
1	2.0	0.7503558415277808
2	3.0	0.200049549033868
3	4.0	0.02670856520488804
4	5.0	0.0029355465235042684
5	6.0	6.941539151916896e-4
6	7.0	8.41398685080833e-5
7	8.0	2.3372185696689796e-6
8	9.0	4.674437139337959e-6
6
