#
# Number of disjuncts with given length
# Divived by total of 205003
#
# idx	len	count
0	1.0	0.013131515148559468
1	2.0	0.688253342634485
2	3.0	0.25608893528400845
3	4.0	0.037384818758748016
4	5.0	0.0042194504470666186
5	6.0	8.243781798315172e-4
6	7.0	8.292561572269674e-5
7	8.0	4.877977395452749e-6
8	9.0	9.755954790905499e-6
