#
# Log of class-related merge statistics
#
# quorum=   0.7 commonality=   0.2 noise=1.0 nrank=200.0
#
# in-group-sim=mi-sim
# N,words,class-size,self-mi,self-rmi,support,count,logli,entropy,cluster
52	"He She Jack"	3.0	13.960687	10.816143	1387.0	26606.0	9.7520643	19.227106	1.1726473
53	"far well very good much little long soon"	8.0	7.8452271	10.290699	147.0	31644.0	9.5018840	14.946242	2.8755835
54	": ]"	2.0	11.467937	10.294297	112.0	5302.0	12.079207	16.045538	0.9971011
55	"was am has had have never"	6.0	6.7688172	9.8104174	2610.0	107843.0	7.7329553	17.009715	2.3481994
56	"no a an nothing any"	5.0	5.3984515	10.061176	2459.0	141300.0	7.3431264	16.117439	1.5626309
57	"has had and were made may will could must would may should might does shall can would don’t should"	16.0	4.9436843	10.184291	2889.0	232334.0	6.6256876	15.575398	3.4141714
58	"shall has had and were made may will could must would may should might does shall can would don’t should did"	17.0	4.8877751	10.233653	3030.0	260582.0	6.4601504	15.543387	3.5865843
59	"replied said on over than through"	6.0	6.9046348	7.6874081	7.0	2602.0	13.106123	14.408681	1.9299790
60	"seemed was is has took"	5.0	4.2339234	10.580008	11775.0	415902.0	5.7856442	16.659614	1.3634936
61	"replied said"	2.0	11.612331	11.439275	284.0	15879.0	10.496696	16.019146	0.6448053
62	"shall has had and were made may will could must would may should might does shall can would don’t should did can"	17.0	4.9106875	10.262599	3028.0	272632.0	6.3949329	15.550062	3.6204593
63	"? ! think"	3.0	11.766390	10.842173	404.0	12542.0	10.837049	17.185722	1.3132694
64	"be have make see find"	5.0	6.2509964	10.351904	2715.0	144252.0	7.3132965	16.185729	1.8591385
65	"cried asked said called"	4.0	6.9778757	10.452309	879.0	55090.0	8.7020255	15.538730	1.2566624
66	"replied said cried"	3.0	11.622711	11.513185	284.0	16367.0	10.453026	15.937025	0.8190485
67	"be have make see find take get"	7.0	6.1299338	10.407063	3020.0	162517.0	7.1412972	16.171808	2.2698234
68	"know be have make see find take get want"	9.0	5.6047170	10.325111	3285.0	195101.0	6.8776667	16.044587	2.6774267
69	"give know be have make see find take get want tell"	11.0	5.5506084	10.381268	3461.0	212239.0	6.7561981	16.001037	2.9472407
70	"cried says"	2.0	13.172208	11.062030	24.0	2689.0	13.058674	14.029039	0.8529458
71	"give know be have make see find take get want tell think believe"	13.0	5.3915456	10.390210	3711.0	235108.0	6.6085642	15.941951	3.2063473
72	"go give know be have make see find take get want tell think believe feel"	15.0	5.2666446	10.407844	3738.0	249442.0	6.5231835	15.853862	3.3927982
73	"go give know be have make see find take get want tell think believe feel say"	16.0	5.1821263	10.416049	3738.0	262580.0	6.4491308	15.789218	3.5097487
74	"replied said cried say says"	5.0	11.303528	11.475598	345.0	19532.0	10.197976	15.917972	1.4856038
75	"let no where without with yet then after which his also never by while Mr"	15.0	5.1838610	10.295162	1273.0	77446.0	8.2106252	15.217641	3.6430870
76	"-- U+005CU+005CU+005CU+005CU+005CU+005CU+005CU+0022I"	2.0	12.573370	11.566178	5.0	4704.0	12.251856	12.830005	0.5085501
77	"On on at was than after"	6.0	13.782847	9.2564750	6.0	667.0	15.069985	16.100924	1.4925831
78	"may will was are have were know could can"	9.0	16.343274	10.500659	14.0	1342.0	14.061359	17.142874	2.2598681
